DISTRICT_CODE,DR_CODE,DISTRICT_NAME
15,03_3,ALLURI SITHARAMA RAJU
16,03_1,ANAKAPALLI
12,12_1,ANANTAPUR
24,11_2,ANNAMAYYA
21,07_3,BAPATLA
10,10_1,CHITTOOR
04,04_2,EAST GODAVARI
19,05_2,ELURU
07,07_1,GUNTUR
17,04_1,KAKINADA
18,04_3,KONASEEMA
06,06_1,KRISHNA
13,13_1,KURNOOL
28,08_1,MARKAPURAM
26,13_2,NANDYAL
20,06_2,NTR
22,07_2,PALNADU
14,02_2,PARVATIPURAM MANYAM
27,05_3,POLAVARAM
08,08_2,PRAKASAM
09,09_2,SPSR NELLORE
25,12_2,SRI SATHYA SAI
01,01_1,SRIKAKULAM
23,10_2,TIRUPATI
03,03_2,VISAKHAPATNAM
02,02_1,VIZIANAGARAM
05,05_1,WEST GODAVARI
11,11_1,YSR KADAPA
