REGISTRATION_TYPE,NATURE_OF_DOCUMENT
Sale [విక్రయం],Sale Deed [విక్రయ దస్తావేజు]
Sale [విక్రయం],Sale Agreement With Possession [విక్రయ స్వాధీన ఒప్పందము]
Sale [విక్రయం],Sale Agreement Without Possession [విక్రయ ఆస్వాధీన ఒప్పందము]
Sale [విక్రయం],Sale Deed Executed By A.P.Housing Board [ఎ.పి హౌసింగ్ బోర్డు క్రయ దస్తావేజు]
Sale [విక్రయం],Sale Deed Executed By Or Infavour Of Constituted By Govt. [ప్రభుత్వముచే / ప్రభుత్వము పేరిట కాబడిన విక్రయ దస్తావేజు]
Sale [విక్రయం],Sale Deed Executed By Society In f/o Member [సొసైటిలు వారి సభ్యులకు చేసే క్రయ దస్తావేజు]
Sale [విక్రయం],"Instruments Between Co-Ops,Govt. & Other Financial Institute [కోఆపరేటివ్ సొసైటిలు/ప్రభుత్వము వారికి ఆర్ధిక సంస్థలకు మధ్య జరిగే లావాదేవీలు]"
Sale [విక్రయం],"Sale Deed In Favour Of State Or Central Govt. [కేంద్ర, రాష్ట్ర ప్రభుత్వములకు క్రయం]"
Sale [విక్రయం],Development Agreement Or Construction Agreement [అభివృద్ధి /లేదా నిర్మాణ ఒప్పందము దస్తావేజు]
Sale [విక్రయం],Development Agreement Cum GPA [జనరల్ పవర్ తో కూడిన అభివృద్ది ఒప్పంద దస్తావేజు]
Sale [విక్రయం],Agreement Of Sale Cum GPA [జనరల్ పవర్ తో కూడిన క్రయ ఒప్పందం]
Sale [విక్రయం],Conveyance Deed(Without Consideration) [కన్వేయన్స్ పత్రం(విలువ లేదు)]
Sale [విక్రయం],Conveyance For Consideration [ప్రతిఫలముతో కూడిన కన్వేయన్స్ దస్తావేజు]
Sale [విక్రయం],Sale Deed in Favour of Mortgagee [తనఖా గ్రహీత కు చేసే విక్రయ దస్తావేజు]
Sale [విక్రయం],Sale with Indemnity [పూచీతో కూడిన క్రయ దస్తావేజు]
Sale [విక్రయం],Sale Deeds in f/o agrl Labrs (SC/ST) Funded by SC Fin. Corpn [SC/ST ఫైనాన్స్ కార్పొరేషన్ వారు దాఖలు చేసే క్రయ పత్రాలు]
Sale [విక్రయం],Sale of life interest [జీవిత కాలపు హక్కులు కలిగిన క్రయ దస్తావేజు]
Sale [విక్రయం],Sale of Terrace Rights [టెర్రస్ హక్కుల క్రయ దస్తావేజు]
Sale [విక్రయం],Sale Deeds executed by Courts [కోర్టుల ద్వారా అమలు కాబడిన క్రయ దస్తావేజు]
Sale [విక్రయం],Court Sale Certificate [కోర్టు క్రయ దృవీకరణ దస్తావేజు]
Sale [విక్రయం],Court Decree [కోర్టు డిక్రీ]
Sale [విక్రయం],Sale(others) [క్రయము(ఇతరులు)]
Sale [విక్రయం],GPA [జనరల్ పవర్ ఆఫ్ అటార్నీ]
Sale [విక్రయం],SadaBainama (Sale) [సాదా బైనామా దస్తావేజు]
Sale [విక్రయం],Development Agreement/GPA/Supplemental Deed By CRDA
Sale [విక్రయం],"Conveyance (Merger, Demerger, Amalgamation of Companies)"
Mortgage [అస్వాదీన తనఖా],Mortgage with Possession [స్వాధీన తనఖా]
Mortgage [అస్వాదీన తనఖా],Mortgage without Possession [అస్వాధీన తనఖా]
Mortgage [అస్వాదీన తనఖా],Mort. Deed in f/o Governer/President of India by Gt.Servants [ప్రభుత్వ ఉద్యోగులు గవర్నరు/రాష్ట్రపతి కి చేసే తనఖా దస్తావేజు]
Mortgage [అస్వాదీన తనఖా],Assignment Deed [అసైన్ మెంట్ దస్తావేజు]
Mortgage [అస్వాదీన తనఖా],Mortgage Deed By Co-Operative Society in f/o Govt. [సహకార సంస్థలు ప్రభుత్వముకు చేసే తనఖా దస్తావేజు]
Mortgage [అస్వాదీన తనఖా],Mortgage Deed by Small Farmer for Agrl.Loans in f/o PAC/Bank [సన్నకారు రైతులు పి.ఎ.సి.ఎస్. బ్యాంకు నందు పెట్టె అస్వాధీన తనఖా]
Mortgage [అస్వాదీన తనఖా],Mortgagee Deed Between Socity to Socity Or Banks [సొసైటి నుండి సొసైటి మరియు బ్యాంకులకు మధ్య జరిగే తనఖా]
Mortgage [అస్వాదీన తనఖా],Deposit of Title Deeds [టైటిల్ డీడ్స్ డిపాజిట్ చేయుట ద్వారా తనఖా]
Mortgage [అస్వాదీన తనఖా],Security Bond [భద్రతా దస్తావేజు]
Mortgage [అస్వాదీన తనఖా],Mortgages in f/o Grameena or Scheduled Bank for Agricultural Credit [గ్రామీణ బ్యాంకు లకు చేసే అస్వాధీన తనఖా]
Mortgage [అస్వాదీన తనఖా],Mortgages in f/o Coop Credit Societies of Weaker Section of Non-Agricultural Class Loan <=10000 [కోఆపరేటివ్ క్రెడిట్ సొసైటి లకు పదివేల సంభందిత ఆస్వాధీన తనఖా]
Mortgage [అస్వాదీన తనఖా],"Instruments Between Co-Op and Other Co-Op,Banks,Financial Inst or Govt. [కోఆపరేటివ్ ఇతర కోఆపరేటివ్ బ్యాంకుల మధ్య ఆరువేల లోపు చేసే దస్తావేజు]"
Mortgage [అస్వాదీన తనఖా],Instruments in f/o House Bldg Co-Op Societies for Loan Upto Rs.30000 Under L.I.G.H Scheme [L.I.G.H స్కీమ్ కింద రూ.30000 వరకు రుణం కోసం f/o హౌస్ Bldg కో-ఆప్ సొసైటీలలోని సాధనాలు]
