TMAJ_CODE,TMIN_CODE,REGISTRATION_TYPE,NATURE_OF_DOCUMENT,SAMPLE_CONSIDERATION,STAMP_DUTY,TRANSFER_DUTY,REGISTRATION_FEE,USER_CHARGES
01,01,Sale [విక్రయం],Sale Deed [విక్రయ దస్తావేజు],1000000,50000,15000,10000,500
01,02,Sale [విక్రయం],Sale Agreement With Possession [విక్రయ స్వాధీన ఒప్పందము],1000000,40000,0,5000,500
01,03,Sale [విక్రయం],Sale Agreement Without Possession [విక్రయ ఆస్వాధీన ఒప్పందము],1000000,5000,0,5000,500
01,04,Sale [విక్రయం],Sale Deed Executed By A.P.Housing Board [ఎ.పి హౌసింగ్ బోర్డు క్రయ దస్తావేజు],1000000,50000,15000,10000,500
01,05,Sale [విక్రయం],Sale Deed Executed By Or Infavour Of Constituted By Govt. [ప్రభుత్వముచే / ప్రభుత్వము పేరిట కాబడిన విక్రయ దస్తావేజు],1000000,50000,15000,10000,500
01,06,Sale [విక్రయం],Sale Deed Executed By Society In f/o Member [సొసైటిలు వారి సభ్యులకు చేసే క్రయ దస్తావేజు],1000000,0,0,10000,500
01,07,Sale [విక్రయం],"Instruments Between Co-Ops,Govt. & Other Financial Institute [కోఆపరేటివ్ సొసైటిలు/ప్రభుత్వము వారికి ఆర్ధిక సంస్థలకు మధ్య జరిగే లావాదేవీలు]",1000000,0,0,10000,500
01,08,Sale [విక్రయం],"Sale Deed In Favour Of State Or Central Govt. [కేంద్ర, రాష్ట్ర ప్రభుత్వములకు క్రయం]",1000000,0,0,10000,500
01,09,Sale [విక్రయం],Development Agreement Or Construction Agreement [అభివృద్ధి /లేదా నిర్మాణ ఒప్పందము దస్తావేజు],1000000,5000,0,5000,500
01,10,Sale [విక్రయం],Development Agreement Cum GPA [జనరల్ పవర్ తో కూడిన అభివృద్ది ఒప్పంద దస్తావేజు],1000000,10000,0,5000,500
01,11,Sale [విక్రయం],Agreement Of Sale Cum GPA [జనరల్ పవర్ తో కూడిన క్రయ ఒప్పందం],1000000,50000,0,2000,500
01,12,Sale [విక్రయం],Conveyance Deed(Without Consideration) [కన్వేయన్స్ పత్రం(విలువ లేదు)],1000000,40000,0,5000,500
01,13,Sale [విక్రయం],Conveyance For Consideration [ప్రతిఫలముతో కూడిన కన్వేయన్స్ దస్తావేజు],1000000,40000,0,5000,500
01,14,Sale [విక్రయం],Sale Deed in Favour of Mortgagee [తనఖా గ్రహీత కు చేసే విక్రయ దస్తావేజు],1000000,50000,15000,10000,500
01,15,Sale [విక్రయం],Sale with Indemnity [పూచీతో కూడిన క్రయ దస్తావేజు],1000000,50000,15000,10000,500
01,16,Sale [విక్రయం],Sale Deeds in f/o agrl Labrs (SC/ST) Funded by SC Fin. Corpn [SC/ST ఫైనాన్స్ కార్పొరేషన్ వారు దాఖలు చేసే క్రయ పత్రాలు],1000000,0,0,10000,500
01,17,Sale [విక్రయం],Sale of life interest [జీవిత కాలపు హక్కులు కలిగిన క్రయ దస్తావేజు],1000000,50000,0,10000,500
