DISTRICT_CODE,DISTRICT_NAME,DR_CODE,MANDAL_CODE,MANDAL_NAME
15,ALLURI SITHARAMA RAJU,03_3,06,ANANTHAGIRI
15,ALLURI SITHARAMA RAJU,03_3,01,ARAKU VALLEY
15,ALLURI SITHARAMA RAJU,03_3,09,CHINTAPALLE
15,ALLURI SITHARAMA RAJU,03_3,03,DUMBRIGUDA
15,ALLURI SITHARAMA RAJU,03_3,08,GANGARAJU MADUGULA
15,ALLURI SITHARAMA RAJU,03_3,10,GUDEM KOTHAVEEDHI
15,ALLURI SITHARAMA RAJU,03_3,05,HUKUMPETA
15,ALLURI SITHARAMA RAJU,03_3,11,KOYYURU
15,ALLURI SITHARAMA RAJU,03_3,04,MUNCHINGIPUTTU
15,ALLURI SITHARAMA RAJU,03_3,07,PADERU
15,ALLURI SITHARAMA RAJU,03_3,02,PEDABAYALU
15,ALLURI SITHARAMA RAJU,03_3,22,VARARAMACHANDRAPURAM
16,ANAKAPALLI,03_1,03,ANAKAPALLI
16,ANAKAPALLI,03_1,08,ATCHUTAPURAM
16,ANAKAPALLI,03_1,09,BUTCHAYYAPETA
16,ANAKAPALLI,03_1,24,CHEEDIKADA
16,ANAKAPALLI,03_1,10,CHODAVARAM
16,ANAKAPALLI,03_1,01,DEVARAPALLE
16,ANAKAPALLI,03_1,14,GOLUGONDA
16,ANAKAPALLI,03_1,02,K KOTAPADU
16,ANAKAPALLI,03_1,04,KASIMKOTA
16,ANAKAPALLI,03_1,19,KOTAURATLA
16,ANAKAPALLI,03_1,23,MADUGULA
16,ANAKAPALLI,03_1,15,MAKAVARAPALEM
16,ANAKAPALLI,03_1,07,MUNAGAPAKA
16,ANAKAPALLI,03_1,17,NAKKAPALLI
16,ANAKAPALLI,03_1,13,NARSIPATNAM
16,ANAKAPALLI,03_1,16,NATHAVARAM
16,ANAKAPALLI,03_1,11,PARAVADA
16,ANAKAPALLI,03_1,18,PAYAKARAOPETA
16,ANAKAPALLI,03_1,06,RAMBILLI
16,ANAKAPALLI,03_1,21,RAVIKAMATHAM
16,ANAKAPALLI,03_1,22,ROLUGUNTA
16,ANAKAPALLI,03_1,20,S RAYAVARAM
16,ANAKAPALLI,03_1,12,SABBAVARAM
16,ANAKAPALLI,03_1,05,YELAMANCHILI
21,BAPATLA,07_3,15,ADDANKI
21,BAPATLA,07_3,05,AMRUTHALUR
21,BAPATLA,07_3,18,BALLIKURUVA
21,BAPATLA,07_3,10,BAPATLA
21,BAPATLA,07_3,04,BHATTIPROLU
21,BAPATLA,07_3,09,CHERUKUPALLE
21,BAPATLA,07_3,24,CHINAGANJAM
21,BAPATLA,07_3,13,CHIRALA
21,BAPATLA,07_3,23,INKOLLU
21,BAPATLA,07_3,16,JANAKAVARAMPANGULURU
21,BAPATLA,07_3,22,KARAMCHEDU
21,BAPATLA,07_3,12,KARLAPALEM
21,BAPATLA,07_3,02,KOLLUR
21,BAPATLA,07_3,19,KORISAPADU
21,BAPATLA,07_3,25,MARTUR
21,BAPATLA,07_3,08,NAGARAM
21,BAPATLA,07_3,07,NIZAMPATNAM
21,BAPATLA,07_3,20,PARCHUR
21,BAPATLA,07_3,11,PITTALAVANIPALEM
21,BAPATLA,07_3,06,REPALLE
21,BAPATLA,07_3,17,SANTHAMAGULURU
21,BAPATLA,07_3,03,TSUNDUR
21,BAPATLA,07_3,01,VEMURU
21,BAPATLA,07_3,14,VETAPALEM
21,BAPATLA,07_3,21,YEDDANAPUDI
12,ANANTAPUR,12_1,25,ANANTAPUR
12,ANANTAPUR,12_1,67,ANANTAPUR (U)
12,ANANTAPUR,12_1,24,ATMAKUR
12,ANANTAPUR,12_1,16,BELUGUPPA
12,ANANTAPUR,12_1,02,BOMMANAHAL
12,ANANTAPUR,12_1,20,BRAHMASAMUDRAM
12,ANANTAPUR,12_1,26,BUKKARAYASAMUDRAM
12,ANANTAPUR,12_1,01,D.HIRCHAL
12,ANANTAPUR,12_1,13,GARLADINNE
12,ANANTAPUR,12_1,06,GOOTY
12,ANANTAPUR,12_1,19,GUMMAGATTA
12,ANANTAPUR,12_1,05,GUNTAKAL
12,ANANTAPUR,12_1,23,KALYANDURG
12,ANANTAPUR,12_1,34,KAMBADUR
12,ANANTAPUR,12_1,17,KANEKAL
12,ANANTAPUR,12_1,14,KUDAIR
12,ANANTAPUR,12_1,22,KUNDURPI
12,ANANTAPUR,12_1,27,NARPALA
12,ANANTAPUR,12_1,12,PAMIDI
12,ANANTAPUR,12_1,10,PEDDAPAPPUR
12,ANANTAPUR,12_1,07,PEDDAVADUGUR
12,ANANTAPUR,12_1,28,PUTLUR
12,ANANTAPUR,12_1,32,RAPTADU
12,ANANTAPUR,12_1,18,RAYADURG
12,ANANTAPUR,12_1,21,SETTUR
12,ANANTAPUR,12_1,11,SINGANAMALA
12,ANANTAPUR,12_1,09,TADPATRI
12,ANANTAPUR,12_1,15,URAVAKONDA
12,ANANTAPUR,12_1,04,VAJRAKARUR
12,ANANTAPUR,12_1,03,VIDAPANAKAL
12,ANANTAPUR,12_1,08,YADIKI
12,ANANTAPUR,12_1,29,YELLANUR
08,PRAKASAM,08_2,29,CHIMAKURTHI
08,PRAKASAM,08_2,13,DARSI
08,PRAKASAM,08_2,05,DONAKONDA
08,PRAKASAM,08_2,42,KONDAPI
08,PRAKASAM,08_2,47,KOTHAPATNAM
08,PRAKASAM,08_2,04,KURICHEDU
08,PRAKASAM,08_2,28,MADDIPADU
08,PRAKASAM,08_2,30,MARRIPUDI
08,PRAKASAM,08_2,14,MUNDLAMURU
08,PRAKASAM,08_2,45,NAGULUPPALAPADU
08,PRAKASAM,08_2,44,ONGOLE
08,PRAKASAM,08_2,57,ONGOLE (Rural)
08,PRAKASAM,08_2,41,PONNALURU
08,PRAKASAM,08_2,43,SANTHANUTHLAPADU
08,PRAKASAM,08_2,56,SINGARAYAKONDA
08,PRAKASAM,08_2,48,TANGUTUR
08,PRAKASAM,08_2,15,THALLUR
08,PRAKASAM,08_2,49,ZARUGUMILLI
