SRO_CODE,SRO_NAME
513,ACHANTA
801,ADDANKI
1301,ADONI
514,AKIVIDU
401,ALAMURU
1302,ALLAGADDA
416,ALLAVARAM
901,ALLUR
1303,ALUR
101,AMADALAVALASA
414,AMALAPURAM
719,AMARAVATHI
415,AMBAJIPET
802,AMMANABROLU
707,AMRUTHALURU
301,ANAKAPALLI
319,ANANDAPURAM
1221,ANANTAPUR RURAL
501,ANANTHAPALLI
1220,ANANTHAPUR (R.O)
733,ANANTHAVARAM
417,ANAPARTHI
1304,ASPARI
1305,ATMAKUR
902,ATMAKUR
418,ATREYAPURAM
512,ATTILI
601,AVANIGADDA
1024,B.KOTHAKOTA
1101,BADVEL
1306,BANAGANAPALLI
1323,BANDI ATMAKUR
1001,BANGARUPALEM
613,BANTUMILLY
720,BAPATLA
701,BATTIPROLU
1324,BETAMCHERLA
302,BHEEMUNIPATNAM
502,BHIMADOLE
515,BHIMAVARAM
202,BHOGAPURAM
402,BICCAVOLU
201,BOBBILI
903,BUCHIREDDYPALEM
919,BUJABUJA NELLORE
1201,BUKKAPATNAM
1002,C.G.GALLU
1203,C.K.PALLI
602,CHALLAPALLI
1012,CHANDRAGIRI
702,CHEBROLU
703,CHERUKUPALLI
721,CHILAKALURIPET
1202,CHILAMATHUR
805,CHIMAKURTHY
503,CHINTALAPUDI
203,CHIPURUPALLI
803,CHIRALA
1023,CHITTOOR RURAL
1011,CHITTOOR(R.O)
1102,CHITVEL
303,CHODAVARAM
1117,CUDDAPAH (R.O)
804,CUMBUM
806,DARSI
1204,DHARMAVARAM
1307,DHONE
403,DRAKSHARAMA
704,DUGGIRALA
1115,DUVVUR
314,DWARAKANAGAR
511,ELURU (R.O)
204,GAJAPATHINAGARAM
312,GAJUWAKA
516,GANAPAVARAM
614,GANNAVARAM
807,GIDDALUR
1205,GOOTY
313,GOPALAPATNAM
603,GUDIVADA
1308,GUDUR-Kurnool
904,GUDUR-Nellor
615,GUNADALA
526,GUNIPUDI
